ts,t,java,k6,postgres,other,total,ncpu
1789299225559,30.1,1.63,0.64,0.45,0.54,3.27,8
1789299225762,30.3,1.43,1.09,0.45,0.89,3.86,8
1789299225964,30.5,1.44,0.59,0.35,0.30,2.67,8
1789299226169,30.7,1.17,0.44,0.34,0.24,2.19,8
1789299226370,30.9,0.94,0.45,0.30,0.84,2.53,8
1789299226572,31.1,0.54,0.30,0.15,0.45,1.44,8
1789299226774,31.3,0.25,1.14,0.00,0.10,1.49,8
1789299226975,31.5,0.00,0.30,0.00,0.15,0.45,8
1789299227180,31.7,0.24,0.00,0.00,1.32,1.56,8
1789299227381,31.9,0.05,0.00,0.00,1.34,1.39,8
1789299227583,32.1,0.00,0.00,0.00,3.17,3.17,8
1789299227785,32.3,0.00,0.00,0.00,1.14,1.14,8
1789299227986,32.5,0.00,0.00,0.00,1.09,1.09,8
1789299228189,32.7,0.00,0.00,0.00,1.28,1.28,8
1789299228391,32.9,0.00,0.00,0.00,1.54,1.54,8
1789299228592,33.1,0.00,0.00,0.00,1.94,1.94,8
1789299228794,33.3,0.05,0.00,0.00,1.29,1.34,8
1789299228995,33.5,0.00,0.00,0.00,1.14,1.14,8
1789299229199,33.7,0.00,0.00,0.00,1.23,1.23,8
1789299229400,33.9,0.00,0.00,0.00,1.74,1.74,8
1789299229602,34.1,0.00,0.00,0.00,1.49,1.49,8
1789299229803,34.3,0.00,0.00,0.00,1.19,1.19,8
1789299230005,34.5,0.00,0.00,0.00,3.32,3.32,8
1789299230209,34.7,0.00,0.00,0.00,1.72,1.72,8
1789299230410,34.9,0.05,0.00,0.00,3.62,3.67,8
1789299230612,35.1,0.00,0.00,0.00,1.24,1.24,8
1789299230813,35.3,0.00,0.00,0.00,2.19,2.19,8
1789299231015,35.5,0.00,0.00,0.00,1.24,1.24,8
1789299231219,35.7,0.00,0.00,0.00,1.22,1.22,8
1789299231420,35.9,0.00,0.00,0.00,1.44,1.44,8
1789299231622,36.1,0.00,0.00,0.00,1.14,1.14,8
1789299231823,36.3,0.00,0.00,0.00,1.14,1.14,8
1789299232024,36.5,0.00,0.00,0.00,2.14,2.14,8
1789299232229,36.7,0.00,0.00,0.00,2.00,2.00,8
1789299232431,36.9,0.05,0.00,0.00,2.23,2.28,8
1789299232632,37.2,0.00,0.00,0.00,1.39,1.39,8
1789299232834,37.4,0.00,0.00,0.00,0.50,0.50,8
1789299233037,37.6,0.00,0.00,0.00,0.44,0.44,8
1789299233241,37.8,0.00,0.00,0.00,1.76,1.76,8
1789299233443,38.0,0.00,0.00,0.05,0.15,0.20,8
1789299233645,38.2,0.05,0.00,0.00,0.20,0.25,8
1789299233846,38.4,0.00,0.00,0.00,0.10,0.10,8
1789299234048,38.6,0.00,0.00,0.00,0.30,0.30,8
1789299234252,38.8,0.00,0.00,0.00,0.29,0.29,8
1789299234453,39.0,0.00,0.00,0.00,0.60,0.60,8
1789299234655,39.2,0.00,0.00,0.00,0.25,0.25,8
1789299234856,39.4,0.00,0.00,0.00,0.15,0.15,8
1789299235058,39.6,0.00,0.00,0.00,0.94,0.94,8
1789299235261,39.8,0.00,0.00,0.00,0.59,0.59,8
1789299235463,40.0,0.05,0.00,0.00,0.25,0.30,8
